prompt,target,prediction
"Correct, is it cheap and what's their address? [INFORM(price_range=moderate); INFORM(address=1000 6th Avenue); NOTIFY_SUCCESS]",I've reserved your table. They are moderate and at 1000 6th Avenue.,They have a good address at 1000 6th Avenue.
Thank you again. [REQ_MORE],Need anything else?,Thank you for your wonderful day.
"Nope, thank you! [GOODBYE]","My pleasure, enjoy your day.","Nope, thank you!"
I'm searching for a location to dine at. [REQUEST(location=); REQUEST(category=)],"what place ought I look in, and what sort of cuisine are you searching for?",I'm looking for a location to dine at.
Get me a diner in San Francisco that offers Asian cuisine. [OFFER(restaurant_name=8 Immortals Restaurant); OFFER(location=San Francisco)],There is a lovely diner called 8 Immortals Restaurant in San Francisco.,Is there a restaurant in San Francisco that offers Asian cuisine?
"Yeah, that's fine with me. [OFFER_INTENT(intent=ReserveRestaurant)]",Do you wish to book a spot there?,"Yeah, that's fine with me."
"Yeah, I'd like to make a reservation on March 5th. [REQUEST(time=)]",When should I book for?,I'd like to make a reservation on March 5th.
Make the booking for 12:30 pm. [CONFIRM(restaurant_name=8 Immortals Restaurant); CONFIRM(location=San Francisco); CONFIRM(time=12:30 pm); CONFIRM(date=March 5th); CONFIRM(number_of_seats=2)],"Please verify the following information: reserve a spot for 2 people at 8 Immortals Restaurant in San Francisco, with the date being March 5th 12:30 pm.",Make the reservation for 12:30 pm.
"Yeah, that's fine. Is the diner cheap? Where is it located? [INFORM(price_range=cheap); INFORM(address=1433 Taraval); NOTIFY_SUCCESS]","Your booking is complete, and yes - it is a cheap diner. The location is 1433 Taraval.",Is there anything else I can help you with?
Thank you for your assistance. [REQ_MORE],Could I assist you with something else?,Thank you for your help.
Nope; thank you for your help. [GOODBYE],Have a pleasant afternoon.,You have a great day.
Can you find me a place to eat around the SFO area? [REQUEST(category=)],"Sure, what kind of grub?",Can you find me a place to eat around the SFO area?
"I want some Ramen, that sounds good right now [OFFER(restaurant_name=2g Japanese Brasserie); OFFER(location=San Francisco); INFORM_COUNT(count=10)]",I found 10 ramen places in San Francisco including 2g Japanese Brasserie which is a nice place,I have a good time.
Where are they located? [INFORM(address=601 Van Ness Avenue)],They are at 601 Van Ness Avenue,Where are they located?
What else can you recommend to me? [OFFER(restaurant_name=Ace Wasabi Rock-n-roll Sushi); OFFER(location=San Francisco)],In San Francisco? How about Ace Wasabi Rock-n-roll Sushi?,What else can you recommend to you?
Is it pricey there? And what's their rating [INFORM(price_range=moderate); INFORM(rating=4.4)],They are in the moderate range and have an average 4.4 rating,Is it pricey there?
What about cheap restaurants that you can recommend? [OFFER(restaurant_name=Fujiyama-ya); OFFER(location=San Francisco); INFORM_COUNT(count=4)],I found 4 places like that in San Francisco including Fujiyama-ya,What about cheap restaurants?
"Oh that sounds good, book me a table please! [REQUEST(time=)]",For what time?,Have a good day!
"Dinner time, around 18:30 [CONFIRM(restaurant_name=Fujiyama-ya); CONFIRM(location=San Francisco); CONFIRM(time=6:30 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)]",Confirming you want a table for 2 at 6:30 pm on March 1st at Fujiyama-ya in San Francisco?,Is there anything else I can do to help you with?
"Yes please, also what's their rating? [INFORM(rating=4.4); NOTIFY_SUCCESS]",It has been booked! And it's around 4.4,"Yes please, what's their rating?"
"Great, thanks for that [REQ_MORE]",Can I do anything else?,"Great, thanks for the wonderful work."
"No, that's all for now, thank you [GOODBYE]",Alright take care!,"Sorry, I'm not going to do that."
"Hello, I was wondering if you could help me find a place to eat? [REQUEST(location=); REQUEST(category=)]","Yes, I can certainly do that. Is there a city you would like to focus on? And what type of cuisine?","Hello, I have a question."
I would like to eat at a barbecue restaurant. Preferably somewhere in Emeryville. [OFFER(restaurant_name=The Bureau 510); OFFER(location=Emeryville); INFORM_COUNT(count=1)],I have found 1 restaurant that matches your inquiry. The Bureau 510 is a barbecue restaurant located in Emeryville.,I would like to eat at a barbecue restaurant in Emeryville.
"Yes, that works for me. Can you help me book a table there? It will be a reservation for one person on March 10th at 11:45 am. [CONFIRM(restaurant_name=The Bureau 510); CONFIRM(location=Emeryville); CONFIRM(time=11:45 am); CONFIRM(date=March 10th); CONFIRM(number_of_seats=1)]",Please confirm the reservation details: A table for 1 at The Bureau 510 in Emeryville for March 10th at 11:45 am.,Is there anything else I can help you with?
"Yes, that is correct. [OFFER(restaurant_name=The Bureau 510); OFFER(number_of_seats=1); OFFER(date=March 10th); OFFER(time=12 pm); NOTIFY_FAILURE]","Sorry, it seems as though the 11:45 am time slot is unavailable. Would you be fine with a reservation for 1 at The Bureau 510 on March 10th at 12 pm instead?","Yes, that is correct."
"Yes, I can do that. [NOTIFY_SUCCESS]",Your reservation has been booked.,"Yes, I can do that."
Thank you for your help! [REQ_MORE],Is there anything else I can do for you today?,Thank you for your help!
"No, that will be all. Thank you again. [GOODBYE]","Have a good day, goodbye!",Thank you again.
Its boring to eat at home for a change i wish to eat outside. Will you find me a restaurant tagged intermediate priced for price? [REQUEST(location=); REQUEST(category=)],At which location should i search in? What type of food you like it most?,Is there a restaurant that is intermediate priced for price?
Please find something like Lobster and find restaurants in Belmont. [OFFER(restaurant_name=CHina VIllage Seafood Restaurant); OFFER(location=Belmont); INFORM_COUNT(count=1)],I found 1 restaurant as per your taste. it is CHina VIllage Seafood Restaurant which is a nice restaurant and it is located in Belmont.,Find something like Lobster in Belmont.
ok thats great. it sound good to me. [OFFER_INTENT(intent=ReserveRestaurant)],Whether i need to reserve a table over there?,Is there anything else I can help with?
Yes I need to reserve a table. [REQUEST(time=)],At what time should i confirm the reservation ?,Yes I need to reserve a table.
Make the reservation at afternoon 12:30 [CONFIRM(restaurant_name=China Village Seafood Restaurant); CONFIRM(location=Belmont); CONFIRM(time=12:30 Pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],Please review the details so that i will confirm. Table need to book at China Village Seafood Restaurant. The city is Belmont and the reservation timing is at 12:30 Pm. The date is March 1st and the reservation is for 2 people.,Make the reservation at afternoon 12:30 [CONFIRM(restaurant_name=China Village Seafood Restaurant); CONFIRM(location=Belmont); CONFIRM(time=12:30 Pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)]
ok thats great. please fix it. DO they have vegetarians options on the menu? [INFORM(has_vegetarian_options=False); NOTIFY_SUCCESS],Your reservation is successful. THey don't have vegetarian options.,Is there any vegetarian options on the menu?
THanks a lot and thats all i need. [GOODBYE],have a wonderful day.,I have a good day.
I'm new in town and would like to find a place to get something to eat. [REQUEST(location=)],What is the name of the area you would like me to look in?,I'm new in town and would like to find a place to eat.
"Somewhere close by, so Mountain View would be great. [REQUEST(category=)]",Is there a specific type of cuisine you would like?,Mountain View would be great.
"I really enjoy French food, if you can find a place that serves it. [OFFER(restaurant_name=Chez Tj); OFFER(location=Mountain View); INFORM_COUNT(count=2)]",There are 2 that I was able to find. The first is Chez Tj and it is located in Mountain View.,"I really enjoy French food, if you can find a place that serves it."
That sounds great! [OFFER_INTENT(intent=ReserveRestaurant)],Should I proceed with booking you a table?,Is there anything else I can help you with?
"Yes, please. I need to book a table for 4 and prefer it to be in the morning 11:45. [CONFIRM(restaurant_name=Chez Tj); CONFIRM(location=Mountain View); CONFIRM(time=11:45 am); CONFIRM(date=March 1st); CONFIRM(number_of_seats=4)]","Let's just make sure I have everything in order before I make the reservation for you. You would like a table for 4, at Chez Tj, located in Mountain View, on March 1st, at 11:45 am.",I have a table for 4 at Chez Tj at 11:45 am.
That sounds great! Can you provide me with their location? [INFORM(address=938 Villa Street); NOTIFY_SUCCESS],The restaurant I was successfully able to book you a table at is located at 938 Villa Street.,Is there any other location in the area?
Can you give ma an idea of how pricey the establishment is? [INFORM(price_range=ultra high-end)],This restaurant has been rated on the ultra high-end regarding cost.,What pricey is the establishment?
Thanks a lot! [REQ_MORE],Is there anything else I can do for you?,Thanks for the great work!
"Nope, that's all I need at the moment. [GOODBYE]","Happy to help, have a great day!",[GOODBYE]
Can you find me a Filipino place to eat. [REQUEST(location=)],In which city?,Can you find me a Filipino place to eat?
I'm looking for something in Geyserville serving pasta outdoors. [OFFER(restaurant_name=Diavola Pizzeria & Salumeria); OFFER(location=Geyserville); INFORM_COUNT(count=1)],There is 1 option. Diavola Pizzeria & Salumeria is in Geyserville.,I'm looking for something in Geyserville serving pasta outdoors.
That one sounds okay. [OFFER_INTENT(intent=ReserveRestaurant)],Should I book a table?,That one sounds okay.
Yes. Please book. [REQUEST(time=)],For what time?,Please book.
Please reserve for 1 in the afternoon. [CONFIRM(restaurant_name=Diavola Pizzeria & Salumeria); CONFIRM(location=Geyserville); CONFIRM(time=1 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],Please confirm you want me to reserve a table for 2 at 1 pm at Diavola Pizzeria & Salumeria in Geyserville on March 1st.,Please reserve 1 in the afternoon.
Yes. That's correct. [NOTIFY_SUCCESS],Your reservation was a success.,Yes. That's correct.
Thanks. That will be all. [GOODBYE],Okay. Have a great day. Goodbye.,I have a great day.
I have friends visiting and would like to find a place to eat. [REQUEST(location=); REQUEST(category=)],In what area would you like to eat and is there a particular type of cusine you are wanting to eat?,??
I enjoy freshwater fish and would like to dine in San Fran. [OFFER(restaurant_name=Akiko's sushi Bar); OFFER(location=San Francisco); INFORM_COUNT(count=10)],There are 10 restaurants meeting your criteria in San Francisco. A very nice restaurant is Akiko's sushi Bar.,:?
Is this an ultra high-end restaurant? I will also need their address. [INFORM(price_range=pricey); INFORM(address=542 A Mason Street)],This restaurant is considered pricey and their address is 542 A Mason Street.,Is there a restaurant in the area?
This place sounds great. Please reserve a table here. [REQUEST(time=)],What time would you like you reservation?,This place sounds great.
Please make a reservation for 12:30 on March 2nd. [CONFIRM(restaurant_name=Akiko's Sushi Bar); CONFIRM(location=San Francisco); CONFIRM(time=12:30 pm); CONFIRM(date=March 2nd); CONFIRM(number_of_seats=2)],Please confirm you would like a table for 2 at Akiko's Sushi Bar in San Francisco. The reservation will be for March 2nd at 12:30 pm.,Please make a reservation for 12:30 on March 2nd at Akiko's Sushi Bar in San Francisco.
That is exactly right. [NOTIFY_SUCCESS],Your reservation is confirmed.,[NOTIFY_SUCCESS]
Thank you for your help! That is all I need at the moment. [GOODBYE],Enjoy your day!,Thank you for your help!
I'm planning to dine out soon. Can you help me select a restaurant in Mountain View? [REQUEST(category=)],Do you have a specific type of cuisine in mind?,I'm planning to dine out soon.
"Sure, search for restaurants that have Ramen. [OFFER(restaurant_name=Bushido); OFFER(location=Mountain View); INFORM_COUNT(count=9)]",There are 9 such places in Mountain View that may suit your tastes. One such restaurant is Bushido,Have a good day.
Can you tell me if they have seating available outside? [INFORM(has_seating_outdoors=False)],This restaurant does not have seating outside.,Can you tell me if they have seating outside?
"What is the average user rating for this establishment? Also, can you give me their contact number? [INFORM(phone_number=650-386-6821); INFORM(rating=4.1)]",The restaurant has an average user rating of 4.1 and they can be reached at: 650-386-6821,What is the average user rating for this establishment?
"Great, thanks! [OFFER_INTENT(intent=ReserveRestaurant)]",Do you want to make a reservation for this restaurant?,Great job!
"Sure, I'd like to make a reservation for 1 person at eleven in the morning on the 4th. [CONFIRM(restaurant_name=Bushido); CONFIRM(location=Mountain View); CONFIRM(time=11 am); CONFIRM(date=March 4th); CONFIRM(number_of_seats=1)]",So you would like to reserve a table for 1 at 11 am on March 4th at Bushido in Mountain View. Is this correct?,I'd like to make a reservation for 1 person at 11 in the morning on the 4th.
That is correct. Can you tell me the price range of this restaurant? [INFORM(price_range=moderate); NOTIFY_SUCCESS],Your table has been booked. The price range is moderate for this restaurant.,Can you tell me the price range of this restaurant?
"Great, thanks for your help! That's it for me. [GOODBYE]",Enjoy your day!,I'm glad you've helped me.
Can you help me find a place to eat? [REQUEST(location=); REQUEST(category=)],"Sure. Where would you like me to look, and what kind of food are you interested in?",Can you help me find a place to eat?
I feel like Thai food. Find me something in San Fran. [OFFER(restaurant_name=Baan Thai House & Wine Bar); OFFER(location=San Francisco); INFORM_COUNT(count=10)],I've found 10 restaurants that match that criteria. How about Baan Thai House & Wine Bar in San Francisco?,I have a Thai meal in San Fran.
Depends. What's their rating? Also do they have vegetarian options? [INFORM(rating=4.3); INFORM(has_vegetarian_options=True)],They have a user rating of 4.3 and good options for vegetarians.,Their rating is true. They have vegetarian options.
Awesome. That sounds good to me. [OFFER_INTENT(intent=ReserveRestaurant)],Would you like to make a reservation?,I have a great day.
"Yes, I do. [REQUEST(time=)]",What time would you like to make the reservation for?,"Yes, I have a good day."
Make it for 11:30 in the morning. [CONFIRM(restaurant_name=Baan Thai House & Wine Bar); CONFIRM(location=San Francisco); CONFIRM(time=11:30 am); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],Please confirm the following details: Book a table for 2 at Baan Thai House & Wine Bar in San Francisco for 11:30 am on March 1st.,Make it for 11:30 in the morning.
"Yes, confirmed. [NOTIFY_SUCCESS]",Your reservation has successfully been made.,"Yes, yes, confirmed."
Great. Thank you. [GOODBYE],You're welcome. Enjoy the rest of your day.,Thank you.
I am planning on going out for a meal with friends. Can you find me a place in Healdsburg? [REQUEST(category=)],Are you looking for any specific type of cuisine?,What place do you want to go out for?
Sure. I'm interested in restaurants that serve Diner food. [OFFER(restaurant_name=Bear Republic Brewing Co); OFFER(location=Healdsburg); INFORM_COUNT(count=5)],There are 5 such restaurants in Healdsburg. One such place you might enjoy is called Bear Republic Brewing Co.,I'm interested in a restaurant that serves Diner food.
"Can you tell me the user rating for this establishment? Also, is outdoor seating available? [INFORM(has_seating_outdoors=True); INFORM(rating=4.4)]",There is no outdoor seating at this restaurant. They are rated at approximately 4.4 by users.,Can you tell me the user rating for this establishment?
"Great, that sounds perfect! I would like to go ahead and make a reservation here. [REQUEST(time=)]",And for what time would you like your reservation?,I have a reservation here.
"I would like a reservation for 6:30 in the evening, please. [CONFIRM(restaurant_name=Bear Republic Brewing Co); CONFIRM(location=Healdsburg); CONFIRM(time=6:30 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)]","So, you would like to make a 6:30 pm reservation for 2 at Bear Republic Brewing Co in Healdsburg for March 1st, correct?",I would like to book a reservation for 6:30 in the evening for the day.
"Yes, that's perfect! Can you tell me if the price range is affordable? And also, are there menu items for vegetarians? [INFORM(price_range=moderate); INFORM(has_vegetarian_options=False); NOTIFY_SUCCESS]","Your table has been confirmed. The restaurant is in the moderate price range. Unfortunately, there are no vegetarian menu items.",Is there anything else for vegetarians?
Excellent. Thanks for you help. That's everything for me! [GOODBYE],Take care,I'm glad you helped me.
Would you look for a direct bus? [REQUEST(to_city=)],Where do you want to go?,Would you like to get a direct bus?
I would like to go to SD. [REQUEST(departure_date=)],When will you leave?,I would like to go to SD.
I want to leave on March 13th. [REQUEST(from_city=)],Where will you depart from?,[REQUEST(from_city=)]
I would like to leave from LAX. [OFFER(departure_time=6:50 am); OFFER(price=$26); INFORM_COUNT(count=10)],I have 10 buses for you. What do you think about one leaving at 6:50 am? It costs $26.,I would like to leave LAX for a few days.
Would you look for something else for 4 people? [OFFER(departure_time=8:10 am); OFFER(price=$26); INFORM_COUNT(count=9)],I have 9 buses that should work. What about one leaving at 8:10 am? It's $26.,Would you like to have a 4 person reservation?
Sounds great. That is all for now. [GOODBYE],Have a good one.,Is there anything else I can help you with?
Could you assist me in looking for a bus? [REQUEST(departure_date=)],What time do you intend to depart?,Could you help me with my search for a bus?
I intend to depart on 13th of March. [REQUEST(to_city=)],What place are you headed to?,[REQUEST(to_city=)]
I'd like to travel to San Diego. [REQUEST(from_city=)],What location will you depart from?,[REQUEST(from_city=)]
I am departing from Fresno. [OFFER(departure_time=6:50 am); OFFER(price=$45)],What do you think about the bus costing $45 and leaving at 6:50 am?,I am leaving Fresno for 45.
Could you get me another bus? [OFFER(departure_time=8:20 am); OFFER(price=$43)],What do you think about the bus costing $43 that leaves at 8:20 am?,I have a good day.
That's perfect; that's all. [GOODBYE],Have a pleasant afternoon.,That's perfect.
I am taking a trip on March 7th and I would like to find a bus that I can take. Can you look this up for me? [REQUEST(from_city=); REQUEST(to_city=)],What is your departure city for this trip? And what is your destination city?,I am taking a trip on March 7th and I would like to find a bus that I can take.
"I am going to San Fran and I would like to depart from Fresno, CA. [OFFER(departure_time=10:50 am); OFFER(price=$35); INFORM_COUNT(count=8)]",There are 8 buses that may work for you. What about the bus that leaves at 10:50 am with a fare of $35?,"I am going to San Fran and would like to leave Fresno, CA."
Can you tell me the number of stops for this bus? [INFORM(category=direct)],There are no stops. This bus is a direct one.,Can you tell me the number of stops for this bus?
Great! That's everything for me! [GOODBYE],Enjoy your day!,I'm glad you did!
"I want you to help me find a direct bus, which will take me to Portland, OR. [REQUEST(from_city=); REQUEST(departure_date=)]","Can you tell me from where you will leave from, and the time when you are going to leave?","I have a direct bus to Portland, OR."
I will be taking my trip from Seattle on day after tomorrow. [OFFER(departure_time=7:30 am); OFFER(price=$32); INFORM_COUNT(count=8)],There are 8 buses which match what you asked for. How would you consider taking the bus which departs at 7:30 am and with a ticket which costs $32?,I will be taking my trip from Seattle on day after tomorrow.
That seems nice. [OFFER_INTENT(intent=BuyBusTicket)],Are you willing to have the tickets bought for this bus?,That seems to be a good thing.
I am not in need to do that now. [REQ_MORE],Is there something else I can help you with.,[REQ_MORE]
Nothing. I appreciate your help very much. [GOODBYE],Have a good time!,I have a great day.
"I need to search for a bus, can you help me out? [REQUEST(to_city=); REQUEST(from_city=); REQUEST(departure_date=)]","When and where do you plan on leaving on bus, and to which destination?",I have a bus to search for.
"I'm leaving on the 11th of this month to Fresno, Ca, from Las Vegas. [OFFER(departure_time=7:20 am); OFFER(price=$38); INFORM_COUNT(count=10)]","10 buses match your description, how about a bus departing at 7:20 am, it costs $38?","I'm leaving for Fresno, Ca, from Las Vegas on 11th of this month."
Is there anything else you can find for this trip? [OFFER(departure_time=9 am); OFFER(price=$38)],"What about a bus departing at 9 am, it will cost $38?",Is there anything else you can find for this trip?
"How many stops will this bus have, and to which station will head to? [INFORM(category=direct); INFORM(to_station=2660 Tulare St)]","This bus is a direct route bus with no stops, it arrives at 2660 Tulare St.",What station will this bus have?
"That all sounds good, thanks? [OFFER_INTENT(intent=BuyBusTicket)]",Will you like to purchase tickets to this bus?,Have a great day.
"Not at the moment, thanks for all the help. [GOODBYE]","Understood, have a great day.","Not at the moment, thanks for all the help."
I'm looking for what bus to take from San Diego. [REQUEST(to_city=)],Where are you headed?,I'm looking for what bus to take from San Diego.
I need to get to LAX. [REQUEST(departure_date=)],When will you go?,[REQUEST(departure_date=)]
I am leaving on the 3rd of March. [OFFER(departure_time=9:10 am); OFFER(price=$25)],What about the 9:10 am bus? It sells tickets for $25.,I am leaving for the 3rd of March.
What stations originate and end this trip? [INFORM(from_station=El Cajon Bus Stop); INFORM(to_station=North Hollywood Station)],It departs from El Cajon Bus Stop and goes to North Hollywood Station.,What stations originate and why?
"Fine, you're a great help. [GOODBYE]",Have a safe trip.,You're great.
Could you please help me in finding a bus for 4 persons on Wednesday next week? [REQUEST(to_city=); REQUEST(from_city=)],From which place will you leave and where do you want to go?,Could you please help me with finding a bus for 4 persons on Wednesday next week?
"I am moving from SF to Long Beach, CA. [OFFER(departure_time=7 am); OFFER(price=$46)]",What do you think about a bus starting at 7 am which costs $46.,"I am moving from SF to Long Beach, CA."
Do you have any other options? [OFFER(departure_time=7:40 am); OFFER(price=$54)],What do you think about a bus starting at 7:40 am which costs $54.,Have a good day?
It is a good one. That is what I want. [GOODBYE],Have a wonderful day.,I have a good day.
I need a hand to find a bus ride [REQUEST(to_city=)],Where should it be headed to?,I need a hand to find a bus ride.
"Sacramento, CA [REQUEST(departure_date=)]",When are you leaving?,"Sacramento, CA [REQUEST(departure_date=)]"
The date is on the 7th of march [REQUEST(from_city=)],where do you intend to leave from?,The date is on the 7th of march.
SFO [OFFER(departure_time=6 am); OFFER(price=$22); INFORM_COUNT(count=10)],"okay then, I've found 10 option. What do you think about leaving at 6 am? Ticket is $22",I am at the SFO [OFFER(departure_time=6 am); OFFER(price=$22); INFORM_COUNT(count=10)]
where do I have to leave from? [INFORM(from_station=transbay terminal)],you have to leave from transbay terminal,I have to leave from the Transbay terminal.
can you please check if it is a one-stop bus? [INFORM(category=direct)],"yes, it's a direct ride",Can you please check it out?
"great, you can shut down now. [GOODBYE]",Bye Bye,You can shut down now.
"I'm taking my brother out, just the two of us before he gets married. Can you help me find a bus ticket on March 8th for the 2 of us? [REQUEST(to_city=)]","I will be happy to help, just tell me where you need a bus ride to?","I'm taking my brother out, just the two of us before he gets married."
We will be going to Vegas. [REQUEST(from_city=)],"No problem, I also need to know what city you will be departing from.",We will be going to Vegas.
"We will be leaving from the city where he lives, Long Beach. [OFFER(departure_time=9:10 am); OFFER(price=$41)]",There is a but fitting that criteria that leaves at 9:10 am and costs a total of $41.,We will be leaving from Long Beach.
That works for me. [OFFER_INTENT(intent=BuyBusTicket)],Would you like me to go ahead and reserve those tickets for you?,Is there anything else I can do for you?
"No, I will get them when it gets a bit closer, but thank you! [GOODBYE]","Not a problem, have a good day!",I have a great day!
"I need to search for a bus, can you help me? [REQUEST(from_city=); REQUEST(to_city=); REQUEST(departure_date=)]","On which date and from where will you depart, and to what destination?",I have a bus to search for.
"I'm planning on leaving on the 13th of March to Long Beach, CA, from SFO. [OFFER(departure_time=7 am); OFFER(price=$46); INFORM_COUNT(count=7)]","There are 7 buses available for that trip, would you be fine with a $46 fare bus departing at 7 am?","I'm planning on leaving for Long Beach, CA, from SFO on 13th of March."
Can you tell me its departure and arrival stations? [INFORM(from_station=Transbay Terminal); INFORM(to_station=Downtown Station)],"The bus will arrive at Downtown Station, it departs from Transbay Terminal.",Is there any other information about the departure and arrival stations?
"Is there another direct bus that you can find, for three people? [OFFER(departure_time=7:40 am); OFFER(price=$44); INFORM_COUNT(count=6)]","From 6 buses, would you be interested in a bus that departs at 7:40 am that costs $44?",Is there another direct bus that you can find for three people?
"That sounds good, thanks. [OFFER_INTENT(intent=BuyBusTicket)]",Would you like to buy tickets to this bus?,That sounds good.
"Not at the moment, thanks for the offer? [REQ_MORE]",Will that be all I can help you with today?,Is there anything else I can help you with?
"That is all, thanks a lot for your help. [GOODBYE]","Your welcome, have a great day.","All that is, thanks for your help."
Help me find a bus? [REQUEST(from_city=)],which city are you leaving from?,What bus do you need?
leaving from Seattle [REQUEST(to_city=); REQUEST(departure_date=)],when are you leaving and where?,depart from Seattle [REQUEST(to_city=); REQUEST(departure_date=)]
"Leaving for Portland this Saturday this week, for one person. [OFFER(departure_time=7:30 am); OFFER(price=$31)]","there is a bus leaving at 7:30 am, costing at $31",I am leaving Portland for one person this Saturday this week.
"good, thats all [GOODBYE]",have a good day!,Good thing.
Can you help me in searching for a direct bus from Los Angeles and it is for 1 person. [REQUEST(departure_date=)],On which date you want to leave?,Can you help me with searching for a direct bus from Los Angeles for 1 person?
I want to go to Long Beach and decided to leave on march 14th [OFFER(departure_time=6:50 am); OFFER(price=$14); INFORM_COUNT(count=10)],I searched 10 buses of your choice. what about the bus starting at 6:50 am with cost of $14,I have been able to leave for a few days.
Oh..that's great. [OFFER_INTENT(intent=BuyBusTicket)],Can i buy the ticket of this bus?,I'm glad you've got it.
"No, not now. [REQ_MORE]",Do you need any other help?,"No, I have no idea what you want to do."
"No, thanks for your help. [GOODBYE]",Have a good day.,You have helped me with your help.
"I would like to find a direct bus to Long Beach, CA on the 13th of this month. [REQUEST(from_city=)]",Where are you departing from?,"I would like to find a direct bus to Long Beach, CA on the 13th of this month."
I'm departing from San Fran and it's online for 1 person. [OFFER(departure_time=7 am); OFFER(price=$46)],There is a bus departing at 7 am for $46.,$46) from San Fran. I'm leaving San Fran and it's online for 1 person.
Thank you for the information. [GOODBYE],Have a good day.,I have a great day.
Can you help me find a bus. [REQUEST(departure_date=); REQUEST(from_city=); REQUEST(to_city=)],When are you leaving? Where are you coming from? Where are you heading?,Can you help me find a bus?
"I'm leaving on the 11th from Portland, OR to Seattle, WA. [OFFER(departure_time=7 am); OFFER(price=$26); INFORM_COUNT(count=10)]",There are 10 buses available for you. Would you like to take the bus leaving at 7 am for $26?,"I'm leaving for Seattle on the 11th from Portland, OR."
Sounds great. [OFFER_INTENT(intent=BuyBusTicket)],Would you like to get some ticket for this bus.?,What a great idea.
Not for now. That would be all. [GOODBYE],Have a good day.,All that.
"How can I get a bus? I'm leaving Los Angeles going to Disney Land in Anaheim. I'm taking my family, three people. [REQUEST(departure_date=)]",When will you go?,"I'm leaving Los Angeles going to Disney Land in Anaheim. I'm taking my family, three people."
I want a direct bus on the 13th of this month. [OFFER(departure_time=6 am); OFFER(price=$12)],How about leaving at 6 am? It only costs $12.,I want a direct bus on the 13th of this month.
"Great, that's enough for now. [GOODBYE]",Have safe travels.,"Good, that's enough for now."
I wish to have a bus on March 13th for three persons. [REQUEST(from_city=); REQUEST(to_city=)],Which is your starting place and where do you want to go?,I wish to have a bus for three persons on March 13th for three persons.
"I am starting from Anaheim, CA to San Francisco. [OFFER(departure_time=8:50 am); OFFER(price=$50)]",What do you think about a bus staring at 8:50 am with the cost $50.,I am currently in San Francisco.
Do you have any other option? [OFFER(departure_time=9:10 am); OFFER(price=$43)],What do you think about a bus staring at 9:10 am with the cost $43.,Have a good day?
What is the arriving station and from which station you are starting from? [INFORM(from_station=Anaheim Bus Station); INFORM(to_station=Transbay Terminal)],It starts from Anaheim Bus Station and reaches at Transbay Terminal.,What is the arrival station and from which station you are starting from?
Do you have any other option? I need a direct bus on Friday next week. [OFFER(departure_time=11:40 am); OFFER(price=$49)],What do you think about a bus staring at 11:40 am with the cost $49.,I have a direct bus on Friday next week.
It is nice. That is what I want. [GOODBYE],Have a nice day.,I have a nice day.
Can you help me look for a bus please [REQUEST(departure_date=); REQUEST(from_city=)],When are you leaving and from where?,Can you help me with a search for a bus please [REQUEST(departure_date=); REQUEST(from_city=)]
I'm gonna be coming from Fresno on the 11th [REQUEST(to_city=)],And where are you gonna be going?,I'm going to be coming from Fresno on the 11th.
I'm headed to Los Angeles on that day [OFFER(departure_time=7:50 am); OFFER(price=$40); INFORM_COUNT(count=8)],"I found around 8 buses that work for you, how about this 7:50 am that's $40",I'm heading to Los Angeles on that day.
That sounds great to me [OFFER_INTENT(intent=BuyBusTicket)],Do you want me to book tickets for it?,Is there anything else I can do to help you with?
"For now not yet, I'll let you know if I ever do, that's it for now [GOODBYE]","Okay, take care then!","For now not yet, I'll let you know if I ever do, that's it for now [GOODBYE]"
I'm looking for help finding a bus. [REQUEST(departure_date=); REQUEST(from_city=); REQUEST(to_city=)],"Sure, when are where are you leaving from and where are you going?",I'm looking for help finding a bus.
I'm leaving from SFO on the 1st and going to Anaheim. [OFFER(departure_time=7:20 am); OFFER(price=$48)],I found a bus leaving at 7:20 am that costs $48.,and I'm leaving from SFO on the 1st and going to Anaheim.
That works for me! [OFFER_INTENT(intent=BuyBusTicket)],"Great, shall I buy you tickets?",Is there anything else I can do for you?
"Not yet, thanks. That's it for now. [GOODBYE]",Have a great rest of your day.,"Not yet, thanks for the delay."
I'd like to find a bus ticket. [REQUEST(departure_date=); REQUEST(from_city=); REQUEST(to_city=)],I'd be happy to help. Let's get some details first. Where are you departing from and where will you be going? When will you be starting your travels?,I'd like to find a bus ticket.
I'd like to find a bus from Sacramento to SFO for next Friday. [OFFER(departure_time=7:40 am); OFFER(price=$24)],There is a bus that leaves at 7:40 am for $24.,I'd like to find a bus from Sacramento to SFO next Friday.
That works for me. [OFFER_INTENT(intent=BuyBusTicket)],Would you like to purchase your tickets now?,Is there anything else I can do for you?
"No, I'm not ready to purchase the tickets just yet. [REQ_MORE]",Is there anything else I can help you with?,I'm not ready to purchase the tickets.
"No, I think you've covered everything for the moment. Thank you! [GOODBYE]",You're welcome. Have a wonderful day.,You've covered everything for now.
